# packages in environment at /home/microbiology/miniconda3/envs/qiime2-2021.2:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                 conda_forge    conda-forge
_openmp_mutex             4.5                      1_llvm    conda-forge
_r-mutex                  1.0.1               anacondar_1    conda-forge
aioeasywebdav             2.4.0           py36h9f0ad1d_1001    conda-forge
aiohttp                   3.7.3            py36h8f6f2f9_3    conda-forge
alsa-lib                  1.2.3                h516909a_0    conda-forge
amply                     0.1.4                      py_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
arb-bio-tools             6.0.6                haa8b8d8_8    bioconda
argon2-cffi               20.1.0           py36h8f6f2f9_2    conda-forge
async-timeout             3.0.1                   py_1000    conda-forge
async_generator           1.10                       py_0    conda-forge
atk-1.0                   2.36.0               h3371d22_4    conda-forge
attmap                    0.12.11                    py_0    conda-forge
attrs                     20.3.0             pyhd3deb0d_0    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                        py_2    conda-forge
backports.functools_lru_cache 1.6.1                      py_0    conda-forge
bcrypt                    3.2.0            py36h8f6f2f9_1    conda-forge
bibtexparser              1.1.0                      py_0    conda-forge
binutils_impl_linux-64    2.35.1               h193b22a_2    conda-forge
binutils_linux-64         2.35                h67ddf6f_30    conda-forge
bioconductor-biobase      2.50.0            r40h037d062_0    bioconda
bioconductor-biocgenerics 0.36.0                    r40_0    bioconda
bioconductor-biocparallel 1.24.0            r40h5f743cb_0    bioconda
bioconductor-biostrings   2.58.0            r40h037d062_0    bioconda
bioconductor-dada2        1.18.0            r40h5f743cb_0    bioconda
bioconductor-delayedarray 0.16.0            r40h037d062_0    bioconda
bioconductor-genomeinfodb 1.26.0                    r40_0    bioconda
bioconductor-genomeinfodbdata 1.2.4                     r40_0    bioconda
bioconductor-genomicalignments 1.26.0            r40h037d062_0    bioconda
bioconductor-genomicranges 1.42.0            r40h037d062_0    bioconda
bioconductor-iranges      2.24.0            r40h037d062_0    bioconda
bioconductor-matrixgenerics 1.2.0                     r40_0    bioconda
bioconductor-rhtslib      1.22.0            r40h037d062_0    bioconda
bioconductor-rsamtools    2.6.0             r40h5f743cb_0    bioconda
bioconductor-s4vectors    0.28.0            r40h037d062_0    bioconda
bioconductor-shortread    1.48.0            r40h5f743cb_0    bioconda
bioconductor-summarizedexperiment 1.20.0                    r40_0    bioconda
bioconductor-xvector      0.30.0            r40h037d062_0    bioconda
bioconductor-zlibbioc     1.36.0            r40h037d062_0    bioconda
biom-format               2.1.10           py36ha112f06_0    conda-forge
biopython                 1.78             py36h8f6f2f9_1    conda-forge
blas                      2.17                   openblas    conda-forge
blast                     2.10.1          pl526he19e7b1_3    bioconda
bleach                    3.3.0              pyh44b312d_0    conda-forge
bokeh                     2.2.3            py36h5fab9bb_0    conda-forge
boost-cpp                 1.70.0               h7b93d67_3    conda-forge
boto3                     1.17.15            pyhd8ed1ab_0    conda-forge
botocore                  1.20.15            pyhd8ed1ab_0    conda-forge
bowtie2                   2.4.2            py36h5202f60_1    bioconda
brotlipy                  0.7.0           py36h8f6f2f9_1001    conda-forge
bwidget                   1.9.14               ha770c72_0    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.17.1               h36c2ea0_0    conda-forge
ca-certificates           2021.1.19            h06a4308_0  
cachecontrol              0.12.6                     py_0    conda-forge
cached-property           1.5.1                      py_0    conda-forge
cachetools                4.2.1              pyhd8ed1ab_0    conda-forge
cairo                     1.16.0            h9f066cc_1006    conda-forge
certifi                   2020.12.5        py36h5fab9bb_1    conda-forge
cffi                      1.14.5           py36hc120d54_0    conda-forge
chardet                   4.0.0            py36h5fab9bb_1    conda-forge
click                     7.1.2              pyh9f0ad1d_0    conda-forge
coincbc                   2.10.5               hab63836_1    conda-forge
conda                     4.9.2            py36h5fab9bb_0    conda-forge
conda-package-handling    1.7.2            py36he6145b8_0    conda-forge
configargparse            1.3                pyhd8ed1ab_0    conda-forge
cryptography              3.4.4            py36hc39840e_0    conda-forge
curl                      7.71.1               he644dc0_8    conda-forge
cutadapt                  3.2              py36h4c5857e_0    bioconda
cycler                    0.10.0                     py_2    conda-forge
cython                    0.29.22          py36hc4f0c31_0    conda-forge
dataclasses               0.7                pyhe4b4509_6    conda-forge
datrie                    0.8.2            py36h8c4c3a4_1    conda-forge
deblur                    1.1.0                      py_2    bioconda
decorator                 4.4.2                      py_0    conda-forge
defusedxml                0.6.0                      py_0    conda-forge
dendropy                  4.5.2              pyh3252c3a_0    bioconda
dnaio                     0.5.0            py36h4c5857e_0    bioconda
docutils                  0.16             py36h5fab9bb_3    conda-forge
dropbox                   11.2.0             pyhd8ed1ab_0    conda-forge
emperor                   1.0.1            py36h5fab9bb_1    conda-forge
entrez-direct             13.9            pl526h375a9b1_1    bioconda
entrypoints               0.3             pyhd8ed1ab_1003    conda-forge
expat                     2.2.10               h9c3ff4c_0    conda-forge
fastcluster               1.1.26           py36h7c3b610_2    conda-forge
fastqc                    0.11.9                        0    bioconda
fasttree                  2.1.10                        0    bioconda
fastx_toolkit             0.0.14                        0    bioconda
fftw                      3.3.9                h27cfd23_1  
filechunkio               1.8                      py36_1    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
